Game Name,System Full,Units(m),Publisher,Developer,Release Date
Gauntlet,Atari 2600,0.5,Answer Software,Answer Software,1/1/1983
Warlords,Atari 2600,0,Atari,Atari,1/1/1981
Adventures of Tron,Atari 2600,0.67,Mattel Interactive,Mattel,1/1/1982
Maze,Atari 2600,0,Sears,Telegames,1/1/1978
Canyon Bomber,Atari 2600,0,Atari,Atari,1/1/1978
Deadly Duck,Atari 2600,0.22,20th Century Fox Video Games,20th Century Fox Video Games,1/1/1982
Fast Eddie,Atari 2600,0,20th Century Fox Video Games,Sirius Software,1/1/1982
Motocross Racer,Atari 2600,0,Xonox,Xonox,1/1/1984
Gremlins,Atari 2600,0.46,Atari,Atari,1/1/1984
Polaris,Atari 2600,0.28,Tigervision,Taito,1/1/1983
Lock 'N' Chase,Atari 2600,0,Mattel Interactive,Mattel,1/1/1982
Robot Tank,Atari 2600,0,Activision,Activision,24/03/1983
Sorcerer,Atari 2600,0,Mythicon,Mythicon,1/1/1983
Star Wars: The Empire Strikes Back,Atari 2600,0,Parker Bros.,Parker Bros,22/05/1982
Tanks But No Tanks,Atari 2600,0,Unknown,Zimag,1/1/1982
Flag Capture,Atari 2600,0.27,Atari,Atari,1/1/1978
Nightmare,Atari 2600,0,Unknown,Sancho,1/1/1983
Hot Action Pack,Atari 2600,0,Activision,HES Interactive,1/1/1990
Quest For Quintana Roo,Atari 2600,0,Sunrise Interactive,Sunrise Software Inc.,1/1/1984
Marine Wars,Atari 2600,0,Konami,Konami,1/1/1983
Seaquest,Atari 2600,0,Activision,Activision,1/1/1983
Space War,Atari 2600,0,Atari,Atari,1/1/1978
Stronghold,Atari 2600,0,"CommaVid, Inc.","CommaVid, Inc.",1/1/1983
Assault,Atari 2600,0.22,Bomb,Bomb,1/1/1983
Thunderground,Atari 2600,0,Sega,Sega,1/1/1983
Amidar,Atari 2600,0,Parker Bros.,Konami,1/1/1982
Defender II,Atari 2600,0.45,Atari,"Williams Electronic Games, Inc.",1/1/1988
BASIC Programming,Atari 2600,0,Atari,Atari,1/1/1978
Double-Ender: Chuck Norris Superkicks/Artillery Duel,Atari 2600,0,Xonox,Xonox,1/1/1983
Circus Atari,Atari 2600,0.46,Atari,Atari,1/1/1978
Desert Falcon,Atari 2600,0.26,Atari,Atari,14/06/1987
Super Challenge Baseball,Atari 2600,0,Mattel Interactive,Mattel,1/1/1982
Double-Ender: Chuck Norris Superkicks / Ghost Manor,Atari 2600,0,Xonox,Xonox,1/1/1983
Football,Atari 2600,0,Atari,Atari,1/1/1978
Tunnel Runner,Atari 2600,0,CBS Electronics,CBS Electronics,1/1/1983
Acid Drop,Atari 2600,0,Salu,Salu,1/1/1992
Video Reflex,Atari 2600,0,Unknown,Exus,1/1/1983
Bobby's Cosmic Adventure,Atari 2600,0,"Telegames, Inc.","Telegames, Inc.",31/12/1990
Congo Bongo,Atari 2600,0.4,Sega,Sega,1/1/1983
